user_id	content_body
110730	终于吃到了上海久符盛名的巴比馒头了，皮是发的满松的，但是里面的馅料就不怎么的了，一般般拉！！
111	终于吃到了上海久符盛名的巴比馒头了，皮是发的满松的，但是里面的馅料就不怎么的了，一般般拉！！
103271	去过好几次了,感觉还可以,喜欢靠窗的位子!每次必点西冷牛排,味道蛮好.但是现在没有刚去的时候,分量足了!
31513	正好是端午节去的，预先订了位。谁知道到了，发现是别人婚宴多余的桌子，结果被迫参加婚礼，那个吵呀。这个店也太没素质了，应该预先告知客人，那样的话我们会改订包房的。结果匆匆点了几个菜，塞下就跑了，实在怕闹。\\r\\n菜色很一般，葱油老虎蟹是我吃过最难吃的。
8761	和同事去过一次，感觉和乍浦路黄河路上的小饭店没有什么很大的区别。土豆色拉的土豆硬了一点，里面的肉也少的可怜！鱼面筋到还可以，催皮牛肉一般，太油了！其他的菜几乎没有什么大的印象！环境不好，同事说这幢楼可以号称“威楼”了！因为担心这里的厕所太脏，所以我们一行四人特地吃完饭到南京路上的厕所：《。但是这里居然可以刷卡的！
230533	典型的国有企业，菜肴差，服务差，妈的一到8：30就赶人！！气死了！
209402	味道和价格都高，是个美食去处，如果有人买单的话。
174162	该怎么说呢,给我的映像就是一个字:差!简直有点离谱,我和lg,一个朋友晚上8点去的,店里环境还可以,冷冷清清,到是不吵.1.问他协程卡能打折吗?服务员一头雾水,到是殷情,估计跑去问了领班,后来说可以打8.8折,我心里开始到是多了一分好感.2.看菜单,问服务员有什么推荐菜,喜欢推荐贵的菜,水煮鱼,只有68元/斤的黑绸鱼,其他的青鱼,黑鱼一律没有.太不实惠.2.点了一个沙茶牛柳,上来的居然是牛肉片,量少的吓人,盆子很大一个,上面薄薄一层牛肉,下面全是香菜叶.3.点了口水鸡,居然是热的,鸡肉全然无味,肯定是刚刚烧出来的白煮鸡才泡在辣油里,而且量也很少,下面全是洋葱.3.点了3个炭烧鸡翅,上来一看,左右两个鸡翅一般大小,其中一个暴小,我们都说是童子鸡翅,哈哈.问他们,他们居然说是随机挑选的,意思就是我们倒霉咯??哈!要他换一个,也是等了半天才上来.4.香菇菜心,18块,量一般,看来素菜他们到是不吝啬了.\\r\\n反正真是太斩人了,怪不得开张时天天爆满,现在没有生意了.活该!
10034	其实是吃环境的，晚上点了蜡烛很灵的！我还是喜欢甜点，牛肉羊肉一律不喜欢。
128751	和妈妈一起去吃的，环境蛮温馨的，菜也蛮好，挺清淡的
26672	总体还不错吧，因为在附近得电大上课，所以每周会去吃一次，那里得东西整体上比较好，还有就是经常会有折扣商品，一般吃碗面或者饭，在叫个甜品，大概也就20-30之间吧。推荐西米露类得产品，做的比较好。
26613	照我妈的话说，这些菜按我们上海人的吃法都是不上台面的.有一个排骨钝豆角,像隔夜菜一样,还有凉粉,和街边小吃没啥区别,老虎菜里面没有花生米,只有一个叫拉丝的点心还算可以.环境到真的很不错,大红大绿的,服务员说话一口东北腔,最搞笑的是,最后他们让我们结帐的时候,竟然说到:咱们今天消费了多少,晕死,我们掏钱他们说成咱们,我和我妈说,过年年夜饭在这种氛围里过一定不错喜气洋洋,结果被我妈妈一口否决,最主要海派人觉得他们的菜式太粗制滥造了,口味还行.
47383	经过吃早餐的，烤牛肉三明治和嫩汁鸡肉串还不错，芷若奶茶一般般，还是喜欢避风塘的。
11506	在众多面包店里算比较一般的。没什么特色，也没感觉很好吃
78912	只喜欢吃豆浆和油条，其它的不喜欢
2559	什么都一般...反正就是一般...
5186	东西丰富多样,价格比不远处的甜蜜蜜要便宜些.古色古香的小楼荡着悠扬甚至凄凉的古筝曲,仿若身在西湖畔.不足是上菜有些慢.
133611	每家连锁的味道都会有些不同，个人觉得品种还是少了点，嘿嘿～
32888	味道还可以，但市口不灵，所以生意较淡，相对于地理位置来说还是偏贵一点，如能再便宜一点，可能会有回头客。
120153	没觉得有什么好吃的。人来疯吧！
96285	吃火锅人均吃到100算贵伐？老妈见了拉申报上的50元优惠券拖了老爸和朋友一起去，4个人吃掉400，又送了50元，正式被套牢。然后又拖着偶和另一个朋友，偶翘班中午打车过去。骨锤锅，汤是白色的，骨头还不错。调料5元一个，自己调无限量。然后开始经典咯，最有名的丸子，38元12个。味道一般。羊肉，一盘13片，晕那偶，其他的东西和一般火锅一样，价钱贵了一半，东西少了一半。唯一好吃的，是他家的鹅肠，很脆，出乎了偶的意外。临了，老妈还说，里面的冰品不错，偶一看时间再赶紧打车回公司。冤那。老妈说买单又是300多，嘿嘿，问偶妈还送券伐？送的送的。还去伐？老妈直摆手，不去了不去了。这个申报上的广告赠券害人的哦。白领的火锅嘛，老妈凑什么热闹
79478	口味和消费都比较大众化，高峰时间人比较多，环境有点嘈杂，服务还可以。
149200	就是喜欢这种像坐在吧台一样的感觉,很透明,很悠闲.喜欢香蕉配牛奶的感觉.所以有喝过猕猴桃香蕉牛奶,葡萄香蕉牛奶.然后自己回家就DIY,但是每次经过还是忍不住要买杯捧在手里.营养+美味=他家的特色.其实是女生的最爱
23673	便宜 就是便宜,马上在单位这里要开分店了，以后没什么吃的时候到可以考虑看看，\\r\\n就是怕排队，排队实在是…… 隔壁 红子鸡 相比冷清得惨过。\\r\\n礼拜六又去了一次，三个人才吃了60不到，味道么就一般，不过这种性价比还是会让人想念的。 
85937	味道一般，觉得东西太少，吃来吃去就这些东西，鸡翅的确不错，有点必胜客的味道
6863	披萨性价比还好
14551	味道一般，价钱不贵，同学聚会的好地方。改名之前有去过，现在的店叫什么名字我也忘了，当时饮料是无限量免费畅饮。
11567	曾经去过两三次。晚上很有情调，一次去喝东西，给了一个很挡人走路的位子，后两次去吃晚餐，味道都不错，牛排非常正宗的，有钱的话值得去一试的餐厅
2770	自助餐的内容较其他店丰富，味道也好，新鲜。
87546	装修一点也不像日本餐厅,感觉像普通的面馆,印象不太好,服务员也都不热情,不会去第2次了.
3254	生意过好，定了位，提前到，还是要排队。\\r\\n没有四个人以上，不要去，量太大了。\\r\\n环境很不协调。有优雅的演奏，有川流不息的客人，anyway，给我的印象就是个大会堂。
15655	环境不错的餐厅，适合晚上去，看上去晶莹剔透，不过最好先预定，靠窗的座位很强手的！！\\r\\n那里的富贵双方特好吃，烤得恰到好处的火腿片配上厚厚的面饼，香脆可口，味道一级帮。其他的菜很清淡，做工也精致！
3608	偶尔换换口味还不错，价格也便宜
3651	烧烤系列味道还可以,自助的品种既少,味道也不怎么样
3803	除去面味道越来越不怎么样之外，有几个小吃还是不错的，比如串烤鳗鱼、螺肉、金菇牛肉卷等等，看在价格的份上要求也不能太高，吃正宗日本料理也不是这个价了！
91387	朋友聚餐选在了这一家川菜馆，味道还可以哦，服务态度也不错，就是晚上要排队哦，去之前还是打电话预定比较好
4081	价格便宜，比较实惠，味道尚可
4112	是性价比很高的一家日本料理\\r\\n吃自助餐很划算，刺身，天妇罗都做得很到位。\\r\\n
4588	东西不怎么好吃，和豪享来差不多，但没豪享来好~~~
4360	吃饭时间的生意很好,需要等的.虽然地方小了点,但很温馨,尤其是冬天时,和朋友一起坐在日韩式的木制塌塌米上吃火锅,感觉非常棒!炒年糕之类的的确不错,但近来水准有下降,我还是喜欢鱼汤,非常鲜美的!!\\r\\n
4390	环境还可以那里都是日本人,那天还在那里看到胡兵呢
19056	实在比原来的重庆麻辣烫王差的太远太远了，不过占了好市口罢了。原来的那家搬到镇宁路菜场对面的巷子里面了，味道还是那么好。但是生意差好远。
3608	濒临南西的繁华，属于闹中取静，还算不错。一到吃饭的时候，附近的白领金领们就来了，人气挺旺！服务挺热情的，菜单也满精致的。套餐还是比较实惠和可口的。
3589	环境不错，挺有格调。椒盐大王蛇是每次必点的。实在太好吃了，想想都要流口水。
4769	对上外的小朋友来说，可是个温馨的回忆啊
47298	昨天去尝了闻名已久的蛋挞，真的很不错！非常好！酥皮酥酥的，蛋黄嫩嫩的，奶油味很浓郁，吃起来味道香香的，真的是我在上海吃过的最好吃的蛋挞。吃了还想吃。
20464	东西还行，填饱肚子没问题，但是也仅限于此了。
5944	口味一般，服务员素质较差，饮料超便宜
52432	东西好便宜，不过相对来说，服务也落后了，菜都是放在最简单的“容器”里，量很少，人少的话蛮个算，可以多点几个菜多吃几个品种。
13795	中午人相对少点，服务满到位，点了老鸭汤，3个女孩子怎么都吃不了，蛋清豆沙馒头没有以前的好了
99602	在上海知道的第一家算是能上档次的本帮菜，去过几次，基本都还算不错，环境服务都还过得去，上菜也比较快，不过竟然有一次告诉我说我点的菜已经没有了，感觉这种比较大的酒楼不应该有这种情况。
54004	味道比较正。是我喜欢的那种辣。\\r\\n但服务和清洁卫生有待提高。\\r\\n
